oracion_original,label_original,puntaje_positivo,puntaje_negativo,resultado_inferencia,sentimiento,tiempo_ejecucion
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,positive,0.75,1.25,4.644334537866631,neutral,0.0
reading my kindle love it lee childs is good read,positive,1.875,0.0,8.118681458204382,positive,0.0
ok first assesment of the kindle it fucking rocks,positive,0.375,0.125,5.174269352800354,neutral,0.0
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,positive,1.875,1.75,5.355665462133366,neutral,0.0
fair enough but i have the kindle and i think it s perfect,positive,1.125,0.125,7.0356307037427195,positive,0.0
no it is too big i m quite happy with the kindle,positive,1.75,0.75,5.595374183794685,neutral,0.0
fuck this economy i hate aig and their non loan given asses,negative,0.375,0.875,4.425019473800466,neutral,0.0009984970092773438
jquery is my new best friend,positive,1.25,0.0,7.832480804631893,positive,0.0
loves twitter,positive,0.0,0.0,4.999999999999997,neutral,0.0
how can you not love obama he makes jokes about himself,positive,1.0,1.125,5.012837914632599,neutral,0.0010004043579101562
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,negative,0.625,0.25,5.456705910453148,neutral,0.0
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,positive,0.375,0.25,5.122285280245056,neutral,0.0
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,positive,0.375,0.0,5.192608741437041,neutral,0.0009999275207519531
dear nike stop with the flywire that shit is a waste of science and ugly love,negative,1.125,0.375,6.380263750645045,neutral,0.0
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,positive,1.0,0.875,5.25837410072786,neutral,0.0
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,negative,0.625,0.875,4.797467946694135,neutral,0.0
i love lebron,positive,0.625,0.0,5.538030311332957,neutral,0.0010046958923339844
lebron is a beast but i m still cheering the a til the end,negative,0.125,0.5,4.762990896789062,neutral,0.0
lebron is the boss,positive,0.25,0.125,5.069177061744043,neutral,0.0009920597076416016
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,positive,0.75,0.125,5.766415318751869,neutral,0.0
lebron and zydrunas are such an awesome duo,positive,0.0,0.0,4.999999999999997,neutral,0.0009999275207519531
lebron is a beast nobody in the nba comes even close,positive,0.75,0.0,5.789910814647766,neutral,0.0
downloading apps for my iphone so much fun there literally is an app for just about anything,positive,0.125,0.0,5.022246360284839,neutral,0.0
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,positive,1.0,0.25,6.405348616839631,neutral,0.0009999275207519531
awesome come back from via,positive,0.5,0.0,5.341631453476036,neutral,0.0
in montreal for a long weekend of r amp r much needed,positive,0.5,0.125,5.322107176954405,neutral,0.0
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,positive,0.5,1.125,4.2651543972969295,neutral,0.0010004043579101562
mluc customer innovation award winner booz allen hamilton,positive,0.0,0.0,4.999999999999997,neutral,0.0
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,positive,0.875,1.25,4.810794913525523,neutral,0.0
google is always a good place to look should ve mentioned i worked on the mustang w my dad,positive,0.875,0.0,6.111256887955915,neutral,0.0
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,negative,0.0,0.875,4.174091596857567,neutral,0.0
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,negative,0.25,0.625,4.689989658279827,neutral,0.0
omg so bored amp my tattoooos are so itchy help aha,negative,0.0,0.0,4.999999999999997,neutral,0.0
i m itchy and miserable,negative,0.0,0.0,4.999999999999997,neutral,0.0
no i m not itchy for now maybe later lol,negative,0.25,0.625,4.689989658279827,neutral,0.0
rt i love the nerdy stanford human biology videos makes me miss school,positive,0.625,0.0,5.538030311332957,neutral,0.0
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,positive,1.75,0.875,5.4094251077575555,neutral,0.0
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,positive,0.375,0.0,5.192608741437041,neutral,0.0010042190551757812
is going to sleep then on a bike ride,positive,0.125,0.25,4.955988142825581,neutral,0.0
cant sleep my tooth is aching,negative,0.5,0.375,5.180886923859725,neutral,0.0
blah blah blah same old same old no plans today going back to sleep i guess,negative,0.125,1.0,3.9235539414416984,neutral,0.0
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,negative,0.0,0.0,4.999999999999997,neutral,0.0
obama administration must stop bonuses to aig ponzi schemers,negative,0.0,0.0,4.999999999999997,neutral,0.0010075569152832031
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,negative,0.75,1.0,4.847881397232556,neutral,0.0
shaunwoo hate n on aig,negative,0.125,0.375,4.875414043319282,neutral,0.0
you will not regret going to see star trek it was awesome,positive,0.125,1.25,3.1261009639597774,negative,0.0
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,negative,0.375,0.625,4.80173543775705,neutral,0.0
highly recommend by malcolm gladwell,positive,0.75,0.0,5.789910814647766,neutral,0.0
blink by malcolm gladwell amazing book and the tipping point,positive,0.125,0.25,4.955988142825581,neutral,0.0
malcolm gladwell might be my new man crush,positive,0.625,0.0,5.538030311332957,neutral,0.0009953975677490234
omg the commercials alone on espn are going to drive me nuts,negative,0.375,0.375,5.041725845377097,neutral,0.0009975433349609375
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,positive,0.25,0.25,5.01948251016965,neutral,0.0010027885437011719
hello twitter api,positive,0.0,0.0,4.999999999999997,neutral,0.0
because the twitter api is slow and most client s aren t good,negative,1.25,0.125,7.50072484906764,positive,0.0
yahoo answers can be a butt sometimes,negative,0.125,0.75,4.432901748143907,neutral,0.0
is scrapbooking with nic d,positive,0.0,0.0,4.999999999999997,neutral,0.0015137195587158203
rt five things wolfram alpha does better and vastly different than google,positive,1.25,0.625,5.817753222562003,neutral,0.0
just changed my default pic to a nike basketball cause bball is awesome,positive,0.125,0.25,4.955988142825581,neutral,0.0
rt was just told that nike layoffs started today,negative,0.125,0.0,5.022246360284839,neutral,0.001008749008178711
back when i worked for nike we had one fav word just do it,positive,0.25,0.5,4.831785690416665,neutral,0.0
by the way i m totally inspired by this freaky nike commercial,positive,0.5,0.0,5.341631453476036,neutral,0.0
class the d is supposed to come today,positive,0.875,0.125,6.084548340548338,neutral,0.0
needs someone to explain lambda calculus to him,negative,0.0,0.0,4.999999999999997,neutral,0.0
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,negative,0.375,0.375,5.041725845377097,neutral,0.0
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,positive,0.875,0.75,5.294278235454707,neutral,0.0
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,negative,1.0,0.375,6.236999900523677,neutral,0.0
great stanford course thanks for making it available to the public really helpful and informative for starting off,positive,0.875,1.0,4.999999999999999,neutral,0.0
work til pm lets go lakers,positive,0.0,0.0,4.999999999999997,neutral,0.0
damn you north korea,negative,0.125,0.125,5.005169796714109,neutral,0.00099945068359375
can we just go ahead and blow north korea off the map already,negative,0.125,0.5,4.762990896789062,neutral,0.0
north korea please cease this douchebaggery china doesn t even like you anymore,negative,0.375,0.0,5.192608741437041,neutral,0.0
why the hell is pelosi in freakin china and on whose dime,negative,0.0,0.0,4.999999999999997,neutral,0.0
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,negative,0.25,0.5,4.831785690416665,neutral,0.0009982585906982422
insects have infected my spinach plant,negative,0.125,0.25,4.955988142825581,neutral,0.0
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,negative,0.5,1.25,4.155187066037615,neutral,0.0
just got back from church and i totally hate insects,negative,0.625,0.25,5.456705910453148,neutral,0.0
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,negative,0.625,1.625,4.343700568167952,neutral,0.000997304916381836
omgg i ohhdee want mcdonalds damn i wonder if its open lol,positive,1.125,1.0,5.207847945099852,neutral,0.0
history exam studying ugh,negative,0.0,0.0,4.999999999999997,neutral,0.001012563705444336
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,negative,1.625,2.0,4.8802758051252315,neutral,0.0009970664978027344
higher physics exam tommorow not lookin forward to it much,negative,0.625,0.75,4.9555963257381155,neutral,0.0
